type,monkey,RW,cond,rt,err,pred
D1ERR-RT,Monkey ST,2,100,459.4504132,0.043478261,0.070455549
D1ERR-RT,Monkey ST,2,Control,377.4678899,0.026785714,0.03521909
D1ERR-RT,Monkey ST,2,Control,364.914956,0.022922636,0.029823782
D1ERR-RT,Monkey ST,2,Control,360.4030303,0.029411765,0.027884536
D1ERR-RT,Monkey ST,2,Control,339.5770492,0.02866242,0.018933436
D1ERR-RT,Monkey ST,2,Control,327.1137026,0.014367816,0.013576633
D1ERR-RT,Monkey ST,2,Control,326.7919255,0.027190332,0.013438332
D1ERR-RT,Monkey ST,2,Control,335.3518519,0.038575668,0.017117427
D1ERR-RT,Monkey ST,2,Control,359.751497,0.023391813,0.027604504
D1ERR-RT,Monkey ST,2,Control,351.9083665,0.045627376,0.024233492
D1ERR-RT,Monkey ST,2,Control,365.7926421,0.065625,0.030201016
D1ERR-RT,Monkey ST,2,Control,346.4825581,0.028248588,0.021901455
D1ERR-RT,Monkey ST,2,Control,355.0077519,0.044444444,0.025565621
D1ERR-RT,Monkey ST,2,Control,346.4285714,0.023255814,0.021878251
D1ERR-RT,Monkey ST,2,Control,349.9727891,0.023255814,0.023401572
D1ERR-RT,Monkey ST,2,Control,357.2226891,0.044176707,0.026517611
D1ERR-RT,Monkey ST,2,Control,358.3022508,0.040123457,0.026981612
D1ERR-RT,Monkey ST,2,Control,368.3993711,0.050746269,0.0313214
D1ERR-RT,Monkey ST,2,Control,342.0136986,0.042622951,0.019980719
D1ERR-RT,Monkey ST,2,Control,358.3493151,0.026666667,0.02700184
D1ERR-RT,Monkey ST,2,Control,337.4789157,0.043227666,0.018031648
D1ERR-RT,Monkey ST,2,Control,347.7197452,0.027863777,0.022433203
D1ERR-RT,Monkey ST,2,Control,361.1687898,0.076470588,0.028213663
D1ERR-RT,Monkey ST,2,Control,359.65,0.013157895,0.027560881
D1ERR-RT,Monkey ST,2,Control,345.4896142,0.023188406,0.021474683
D1ERR-RT,Monkey ST,2,Control,338.416129,0.018987342,0.018434467
D1ERR-RT,Monkey ST,2,Control,350.502924,0.022857143,0.023629426
D1ERR-RT,Monkey ST,2,Control,376.9615385,0.034055728,0.035001458
D1ERR-RT,Monkey ST,2,Control,383.50625,0.047619048,0.037814405
D1ERR-RT,Monkey ST,2,Control,371.4090909,0.022222222,0.032614991
D1ERR-RT,Monkey ST,2,Control,395.4791667,0.043189369,0.042960418
D1ERR-RT,Monkey ST,2,Control,396.8344828,0.102167183,0.043542939
D1ERR-RT,Monkey ST,4,10,349.4747475,0.026229508,0.023187511
D1ERR-RT,Monkey ST,4,10,345.5746032,0.012539185,0.021511211
D1ERR-RT,Monkey ST,4,10,346.4673913,0.021276596,0.021894936
D1ERR-RT,Monkey ST,4,30,347.5309446,0.009677419,0.022352056
D1ERR-RT,Monkey ST,4,30,392.271028,0.031674208,0.041581546
D1ERR-RT,Monkey ST,4,30,370.192,0.045801527,0.03209188
D1ERR-RT,Monkey ST,4,30,373.7815126,0.016528926,0.033634668
D1ERR-RT,Monkey ST,4,50,419.9097473,0.010714286,0.053460792
D1ERR-RT,Monkey ST,4,50,378.3090909,0.026548673,0.035580642
D1ERR-RT,Monkey ST,4,50,361.269103,0.003311258,0.028256778
D1ERR-RT,Monkey ST,4,50,371.2295082,0.031746032,0.032537805
D1ERR-RT,Monkey ST,4,100,401.125,0.01369863,0.045387023
D1ERR-RT,Monkey ST,4,100,394,0.045643154,0.042324666
D1ERR-RT,Monkey ST,4,100,415.6666667,0.012658228,0.051637097
D1ERR-RT,Monkey ST,4,100,450.0210084,0.024590164,0.066402748
D1ERR-RT,Monkey ST,4,Control,346.2324159,0.029673591,0.021793942
D1ERR-RT,Monkey ST,4,Control,337.8978979,0.002994012,0.018211729
D1ERR-RT,Monkey ST,4,Control,345.0030395,0.012012012,0.021265551
D1ERR-RT,Monkey ST,4,Control,318.7124183,0.022364217,0.009965723
D1ERR-RT,Monkey ST,4,Control,329.4236311,0.005730659,0.014569451
D1ERR-RT,Monkey ST,4,Control,325.8348624,0.006079027,0.013026982
D1ERR-RT,Monkey ST,4,Control,328.3018293,0.020895522,0.014087295
D1ERR-RT,Monkey ST,4,Control,347.5843373,0.011904762,0.022375004
D1ERR-RT,Monkey ST,4,Control,333.4741036,0.023346304,0.016310362
D1ERR-RT,Monkey ST,4,Control,351.4647436,0.018867925,0.02404282
D1ERR-RT,Monkey ST,4,Control,337.5710059,0.005882353,0.018071229
D1ERR-RT,Monkey ST,4,Control,341.6889764,0.015503876,0.019841151
D1ERR-RT,Monkey ST,4,Control,328.9666667,0.013157895,0.014373045
D1ERR-RT,Monkey ST,4,Control,331.8259386,0.016778523,0.015601973
D1ERR-RT,Monkey ST,4,Control,329.7786885,0.016129032,0.014722056
D1ERR-RT,Monkey ST,4,Control,323.2707692,0.021084337,0.011924923
D1ERR-RT,Monkey ST,4,Control,339.4950495,0.022580645,0.018898192
D1ERR-RT,Monkey ST,4,Control,321.7979798,0.026229508,0.011291911
D1ERR-RT,Monkey ST,4,Control,331.1503497,0.013793103,0.015311602
D1ERR-RT,Monkey ST,4,Control,319.6283988,0.017804154,0.010359416
D1ERR-RT,Monkey ST,4,Control,329.6786885,0.019292605,0.014679076
D1ERR-RT,Monkey ST,4,Control,345.5166667,0.019607843,0.02148631
D1ERR-RT,Monkey ST,4,Control,346.3443709,0.019480519,0.021842061
D1ERR-RT,Monkey ST,4,Control,341.1543027,0.011730205,0.019611346
D1ERR-RT,Monkey ST,4,Control,326.1041009,0.01552795,0.013142702
D1ERR-RT,Monkey ST,4,Control,338.2756598,0.017291066,0.018374093
D1ERR-RT,Monkey ST,4,Control,365.6045016,0,0.030120152
D1ERR-RT,Monkey ST,4,Control,376.3095975,0.024169184,0.034721251
D1ERR-RT,Monkey ST,4,Control,356.1648352,0.021505376,0.026062941
D1ERR-RT,Monkey ST,4,Control,381.543554,0.013745704,0.036970829
D1ERR-RT,Monkey ST,4,Control,378,0.022875817,0.035447793
D1ERR-RT,Monkey ST,8,10,350.4280822,0.013513514,0.023597259
D1ERR-RT,Monkey ST,8,10,336.1182109,0.003184713,0.017446811
D1ERR-RT,Monkey ST,8,10,329.4748201,0.010676157,0.014591452
D1ERR-RT,Monkey ST,8,30,341.862069,0.006849315,0.019915547
D1ERR-RT,Monkey ST,8,30,365.759434,0.004694836,0.030186743
D1ERR-RT,Monkey ST,8,30,355.008,0.019607843,0.025565728
D1ERR-RT,Monkey ST,8,30,352.6808511,0.02892562,0.024565509
D1ERR-RT,Monkey ST,8,50,408.9479167,0.010309278,0.048749348
D1ERR-RT,Monkey ST,8,50,335.2673267,0.009803922,0.017081097
D1ERR-RT,Monkey ST,8,50,347.35,0.003558719,0.022274285
D1ERR-RT,Monkey ST,8,50,347.9585062,0.008230453,0.022535824
D1ERR-RT,Monkey ST,8,100,373.247619,0.032258065,0.033405199
D1ERR-RT,Monkey ST,8,100,380.5714286,0.022522523,0.036553005
D1ERR-RT,Monkey ST,8,100,374.9148936,0.020833333,0.034121801
D1ERR-RT,Monkey ST,8,100,422.9453782,0.020576132,0.05476552
D1ERR-RT,Monkey ST,8,Control,332.0363636,0.023668639,0.015692415
D1ERR-RT,Monkey ST,8,Control,326.8575758,0.011976048,0.013466549
D1ERR-RT,Monkey ST,8,Control,347.5679758,0.011940299,0.022367972
D1ERR-RT,Monkey ST,8,Control,310.4233129,0.009118541,0.006403028
D1ERR-RT,Monkey ST,8,Control,341.1875,0.00591716,0.019625615
D1ERR-RT,Monkey ST,8,Control,328.7634069,0.006269592,0.014285683
D1ERR-RT,Monkey ST,8,Control,327.668693,0.006042296,0.01381517
D1ERR-RT,Monkey ST,8,Control,352.0183486,0.018018018,0.024280762
D1ERR-RT,Monkey ST,8,Control,328.8605578,0.015686275,0.014327439
D1ERR-RT,Monkey ST,8,Control,346.5993485,0.016025641,0.021951652
D1ERR-RT,Monkey ST,8,Control,348.9117647,0.01734104,0.022945539
D1ERR-RT,Monkey ST,8,Control,333.6941176,0.034090909,0.016404925
D1ERR-RT,Monkey ST,8,Control,326.4041096,0.010169492,0.013271647
D1ERR-RT,Monkey ST,8,Control,318.1719745,0.012578616,0.009733438
D1ERR-RT,Monkey ST,8,Control,315.7804878,0.023809524,0.008705566
D1ERR-RT,Monkey ST,8,Control,315.6415663,0.008955224,0.008645857
D1ERR-RT,Monkey ST,8,Control,322.0724138,0.010238908,0.011409864
D1ERR-RT,Monkey ST,8,Control,309.7871622,0.02310231,0.006129608
D1ERR-RT,Monkey ST,8,Control,322.8146853,0.020547945,0.011728896
D1ERR-RT,Monkey ST,8,Control,327.3454545,0.020771513,0.013676241
D1ERR-RT,Monkey ST,8,Control,331.5173502,0.018575851,0.015469341
D1ERR-RT,Monkey ST,8,Control,342.9462025,0.033639144,0.020381513
D1ERR-RT,Monkey ST,8,Control,344.0130719,0.01607717,0.020840058
D1ERR-RT,Monkey ST,8,Control,343.9857955,0.005649718,0.020828335
D1ERR-RT,Monkey ST,8,Control,331.4735099,0.00330033,0.015450498
D1ERR-RT,Monkey ST,8,Control,334.8554217,0.014836795,0.016904059
D1ERR-RT,Monkey ST,8,Control,355.8585209,0.006389776,0.025931286
D1ERR-RT,Monkey ST,8,Control,376.1797386,0.009708738,0.034665437
D1ERR-RT,Monkey ST,8,Control,347.9485294,0.021582734,0.022531536
D1ERR-RT,Monkey ST,8,Control,366.472028,0.027210884,0.030493019
D1ERR-RT,Monkey ST,8,Control,371.5034014,0.023255814,0.032655526
D2ERR-RT,Monkey KN,1,0,527.3823529,0.244444444,0.129022174
D2ERR-RT,Monkey KN,1,0,492.1803279,0.148837209,0.106979313
