"","monkey","SessionNo","condition","CU","CostType","Refusal Rate","RT"
"225","stan","970","D1-CON","2","w",0.0625,397.42962962963
"226","stan","971","D1-CON","2","w",0.0972222222222222,425.315384615385
"227","stan","976","D1-CON","2","w",0.174193548387097,414.5234375
"228","stan","977","D1-CON","2","w",0.0753424657534247,432.725925925926
"229","stan","981","D1-CON","2","w",0.12751677852349,398.746153846154
"230","stan","982","D1-CON","2","w",0.0482758620689655,384.528985507246
"231","stan","983","D1-CON","2","w",0.048951048951049,408.691176470588
"232","stan","988","D1-CON","2","w",0.0296296296296296,416.198473282443
"233","stan","989","D1-CON","2","w",0.0217391304347826,434.992592592593
"234","stan","992","D1-CON","2","w",0.0291970802919708,428.729323308271
"235","stan","968","D1-MO","0","d",0,350.241379310345
"236","stan","974","D1-MO","0","d",0.00892857142857143,381.432432432432
"237","stan","978","D1-MO","0","d",0.0117647058823529,354.297619047619
"238","stan","968","D1-MO","1","d",0.114503816793893,460.913793103448
"239","stan","974","D1-MO","1","d",0.0826446280991736,504.162162162162
"240","stan","978","D1-MO","1","d",0.0561797752808989,437.154761904762
"241","stan","968","D1-MO","2","d",0.139705882352941,499.683760683761
"242","stan","974","D1-MO","2","d",0.13953488372093,501.009009009009
"243","stan","978","D1-MO","2","d",0.153061224489796,467.10843373494
"244","stan","968","D1-MO","0","w",0.0168067226890756,374.119658119658
"245","stan","974","D1-MO","0","w",0.0263157894736842,381.657657657658
"246","stan","978","D1-MO","0","w",0.0117647058823529,390.25
"247","stan","968","D1-MO","1","w",0.0413223140495868,439.5
"248","stan","974","D1-MO","1","w",0.0672268907563025,475.432432432432
"249","stan","978","D1-MO","1","w",0.0117647058823529,430.940476190476
"250","stan","968","D1-MO","2","w",0.0569105691056911,489.896551724138
"251","stan","974","D1-MO","2","w",0.0901639344262295,499.414414414414
"252","stan","978","D1-MO","2","w",0.0795454545454545,451.358024691358
"253","stan","962","D1-HO","0","d",0,364.6125
"254","stan","984","D1-HO","0","d",0.021505376344086,392.065934065934
"255","stan","990","D1-HO","0","d",0.043956043956044,430.126436781609
"256","stan","962","D1-HO","1","d",0.0909090909090909,487.9375
"257","stan","984","D1-HO","1","d",0.0520833333333333,513.857142857143
"258","stan","990","D1-HO","1","d",0.0736842105263158,489.079545454545
"259","stan","962","D1-HO","2","d",0.159574468085106,483.506329113924
"260","stan","984","D1-HO","2","d",0.0618556701030928,484.153846153846
"261","stan","990","D1-HO","2","d",0.169811320754717,481.465909090909
"262","stan","962","D1-HO","0","w",0.0476190476190476,369.7375
"263","stan","984","D1-HO","0","w",0.021505376344086,420.076923076923
"264","stan","990","D1-HO","0","w",0.0842105263157895,443.471264367816
"265","stan","962","D1-HO","1","w",0.130434782608696,461.125
"266","stan","984","D1-HO","1","w",0.021505376344086,497.186813186813
"267","stan","990","D1-HO","1","w",0.0842105263157895,497.137931034483
"268","stan","962","D1-HO","2","w",0.102272727272727,459.126582278481
"269","stan","984","D1-HO","2","w",0.0315789473684211,507.663043478261
"270","stan","990","D1-HO","2","w",0.138613861386139,514.666666666667
"271","mp7","81","D1-CON","0","d",0.122448979591837,431.348837209302
"272","mp7","82","D1-CON","0","d",0.0485436893203883,404.510204081633
"273","mp7","87","D1-CON","0","d",0.105263157894737,363.152941176471
"274","mp7","88","D1-CON","0","d",0.0412371134020619,422.354838709677
"275","mp7","91","D1-CON","0","d",0.0434782608695652,386.068181818182
"276","mp7","94","D1-CON","0","d",0.0260869565217391,387.125
"277","mp7","97","D1-CON","0","d",0.0149253731343284,409.159090909091
"278","mp7","98","D1-CON","0","d",0.0592592592592593,412.527559055118
"279","mp7","103","D1-CON","0","d",0.0373134328358209,376.705426356589
"280","mp7","104","D1-CON","0","d",0.0422535211267606,382.639705882353
"281","mp7","108","D1-CON","0","d",0.0289855072463768,412.34328358209
"282","mp7","109","D1-CON","0","d",0.00746268656716418,438.248120300752
"283","mp7","110","D1-CON","0","d",0.0638297872340425,408.189393939394
"284","mp7","115","D1-CON","0","d",0.0367647058823529,380.312977099237
"285","mp7","116","D1-CON","0","d",0.00769230769230769,378.589147286822
"286","mp7","119","D1-CON","0","d",0.0232558139534884,393.968253968254
"287","mp7","122","D1-CON","0","d",0.0396825396825397,420.438016528926
"288","mp7","125","D1-CON","0","d",0.0153846153846154,390.6875
"289","mp7","126","D1-CON","0","d",0,418.119047619048
"290","mp7","81","D1-CON","1","d",0.121212121212121,453.011494252874
"291","mp7","82","D1-CON","1","d",0.0666666666666667,463.836734693878
"292","mp7","87","D1-CON","1","d",0.238938053097345,417.709302325581
"293","mp7","88","D1-CON","1","d",0.162162162162162,516.623655913978
"294","mp7","91","D1-CON","1","d",0.137254901960784,458.75
"295","mp7","94","D1-CON","1","d",0.146153846153846,424.45045045045
"296","mp7","97","D1-CON","1","d",0.0638297872340425,467.613636363636
"297","mp7","98","D1-CON","1","d",0.079136690647482,472.0625
"298","mp7","103","D1-CON","1","d",0.0921985815602837,468.5703125
"299","mp7","104","D1-CON","1","d",0.048951048951049,464.823529411765
"300","mp7","108","D1-CON","1","d",0.101351351351351,454.676691729323
"301","mp7","109","D1-CON","1","d",0.106666666666667,444.283582089552
"302","mp7","110","D1-CON","1","d",0.102040816326531,438.265151515152
"303","mp7","115","D1-CON","1","d",0.0437956204379562,453.625954198473
"304","mp7","116","D1-CON","1","d",0.0845070422535211,414.684615384615
"305","mp7","119","D1-CON","1","d",0.112676056338028,481.595238095238
"306","mp7","122","D1-CON","1","d",0.103703703703704,475.099173553719
"307","mp7","125","D1-CON","1","d",0.0985915492957746,453.5
"308","mp7","126","D1-CON","1","d",0.0802919708029197,450.460317460317
"309","mp7","81","D1-CON","2","d",0.252173913043478,471.06976744186
"310","mp7","82","D1-CON","2","d",0.147826086956522,470.316326530612
"311","mp7","87","D1-CON","2","d",0.156862745098039,412.011627906977
"312","mp7","88","D1-CON","2","d",0.213675213675214,485.565217391304
"313","mp7","91","D1-CON","2","d",0.177570093457944,468.397727272727
"314","mp7","94","D1-CON","2","d",0.165413533834586,452.108108108108
"315","mp7","97","D1-CON","2","d",0.159235668789809,488.757575757576
"316","mp7","98","D1-CON","2","d",0.123287671232877,469.5390625
"317","mp7","103","D1-CON","2","d",0.128378378378378,442.68992248062
"318","mp7","104","D1-CON","2","d",0.140127388535032,465.355555555556
"319","mp7","108","D1-CON","2","d",0.0763888888888889,449.390977443609
"320","mp7","109","D1-CON","2","d",0.177914110429448,424.082089552239
"321","mp7","110","D1-CON","2","d",0.108108108108108,438.856060606061
"322","mp7","115","D1-CON","2","d",0.108843537414966,473.908396946565
"323","mp7","116","D1-CON","2","d",0.0780141843971631,478.561538461538
"324","mp7","119","D1-CON","2","d",0.125,461.015873015873
"325","mp7","122","D1-CON","2","d",0.110294117647059,493.950413223141
"326","mp7","125","D1-CON","2","d",0.184713375796178,474.859375
"327","mp7","126","D1-CON","2","d",0.125,461.269841269841
"328","mp7","81","D1-CON","0","w",0.0860215053763441,384.882352941176
"329","mp7","82","D1-CON","0","w",0.0392156862745098,394
"330","mp7","87","D1-CON","0","w",0.0340909090909091,342.317647058824
"331","mp7","88","D1-CON","0","w",0.0510204081632653,408.559139784946
"332","mp7","91","D1-CON","0","w",0.021978021978022,393.52808988764
"333","mp7","94","D1-CON","0","w",0.075,348.063063063063
"334","mp7","97","D1-CON","0","w",0,360.348484848485
"335","mp7","98","D1-CON","0","w",0.0303030303030303,342.1484375
