"","S","mk","RW","cond","err","rt"
"170","2106","stan","1","saline",0.0474777448071217,360.582554517134
"171","2107","stan","1","saline",0.0460122699386503,362.533762057878
"172","2108","stan","1","saline",0.0366197183098592,373.631578947368
"173","2109","stan","1","saline",0.146258503401361,384.629482071713
"174","2110","stan","1","saline",0.0900900900900901,390.587458745875
"175","2111","stan","1","saline",0.0554016620498615,365.636363636364
"176","2112","stan","1","saline",0.0654545454545455,376.568093385214
"177","2113","stan","1","saline",0.0422960725075529,375.943217665615
"178","2114","stan","1","saline",0.0714285714285714,383.695652173913
"179","2115","stan","1","saline",0.0617760617760618,396.59670781893
"180","2116","stan","1","saline",0.0376175548589342,385.824104234528
"181","2117","stan","1","saline",0.0351437699680511,413.033112582781
"182","2118","stan","1","saline",0.0889570552147239,371.683501683502
"183","2119","stan","1","saline",0.0950920245398773,388.166101694915
"184","2120","stan","1","saline",0.0461095100864553,364.767371601208
"185","2121","stan","1","saline",0.0504731861198738,373.066445182724
"186","2122","stan","1","saline",0.0462962962962963,389.165048543689
"187","2123","stan","1","saline",0.0595238095238095,398.993670886076
"188","2124","stan","1","saline",0.0263929618768328,367.409638554217
"189","2125","stan","1","saline",0.0658682634730539,362
"190","2126","stan","1","saline",0.0493150684931507,369.677233429395
"191","2127","stan","1","saline",0.0454545454545455,379.653968253968
"192","2128","stan","1","saline",0.0553935860058309,397.401234567901
"193","2129","stan","1","saline",0.0466666666666667,391.311188811189
"194","2130","stan","1","saline",0.0827814569536424,421.342960288809
"195","2131","stan","1","saline",0.12094395280236,415.835570469799
"292","2201","stan","2","0.01",0.0394736842105263,367.753424657534
"293","2202","stan","2","0.01",0.0227272727272727,366.58803986711
"294","2203","stan","2","0.01",0.0380622837370242,374.111510791367
"305","2301","stan","2","0.03",0.0387096774193548,388.808724832215
"306","2302","stan","2","0.03",0.05,427.693779904306
"307","2303","stan","2","0.03",0.0347490347490347,419.712
"308","2304","stan","2","0.03",0.0522088353413655,403.016949152542
"321","2401","stan","2","0.05",0.0105263157894737,455.45390070922
"322","2402","stan","2","0.05",0.0333333333333333,420.87684729064
"323","2403","stan","2","0.05",0.0198675496688742,397.415540540541
"324","2404","stan","2","0.05",0.0610687022900763,434.853658536585
"337","2501","stan","2","0.1",0.0666666666666667,461.895238095238
"338","2502","stan","2","0.1",0.047008547008547,448.560538116592
"339","2503","stan","2","0.1",0.0454545454545455,447.467532467532
"340","2504","stan","2","0.1",0.0434782608695652,459.450413223141
"196","2101","stan","2","saline",0.0267857142857143,377.467889908257
"197","2102","stan","2","saline",0.0229226361031519,364.91495601173
"198","2103","stan","2","saline",0.0294117647058824,360.40303030303
"199","2104","stan","2","saline",0.0286624203821656,339.577049180328
"200","2105","stan","2","saline",0.014367816091954,327.113702623907
"201","2106","stan","2","saline",0.027190332326284,326.791925465839
"202","2107","stan","2","saline",0.0385756676557863,335.351851851852
"203","2108","stan","2","saline",0.0233918128654971,359.751497005988
"204","2109","stan","2","saline",0.0456273764258555,351.908366533865
"205","2110","stan","2","saline",0.065625,365.792642140468
"206","2111","stan","2","saline",0.0282485875706215,346.482558139535
"207","2112","stan","2","saline",0.0444444444444444,355.007751937984
"208","2113","stan","2","saline",0.0232558139534884,346.428571428571
"209","2114","stan","2","saline",0.0232558139534884,349.972789115646
